Title,Topic,Name,CustomName,Representation,open_ai,Representative_Docs,Top_n_words,Probability,Representative_document
Effect of short foot exercise on lower-limb motor control function during single-leg standing in university students with flatfoot: A randomized controlled trial,20,20_control_dynamic_pilot_lower,Postural Stability and Lower Limb Motor Control Studies,"['control', 'dynamic', 'pilot', 'lower', 'lower limb', 'effect', 'muscles', 'year', 'validity', 'motor']",['Postural Stability and Lower Limb Motor Control Studies'],"['Immediate effect of the use of toe separators on dynamic balance and ankle range of motion: a pilot study', ""Transcranial direct current stimulation suggests not improving postural control during adapted tandem position in people with Parkinson's disease: A pilot study"", 'Effect of short foot exercise on lower-limb motor control function during single-leg standing in university students with flatfoot: A randomized controlled trial']",control - dynamic - pilot - lower - lower limb - effect - muscles - year - validity - motor,1,TRUE
Changing Practice: Clinical Application of Resistance Training Evidence for Children With Cerebral Palsy,17,17_children_motor_individuals_adolescents,Motor Skills Development and Intervention in Children with Disabilities,"['children', 'motor', 'individuals', 'adolescents', '12', 'intervention', 'qualitative', 'interventions', 'muscle strength', 'self']",['Motor Skills Development and Intervention in Children with Disabilities'],"['Relationship between the sociodemographic profile and motor competence of children', 'The validity and reliability of school-based fundamental movement skills screening to identify children with motor difficulties', 'Can the Doman method improve motor competence in children of 4 years of age? A quasi-experimental study of two Physical Education programmes in preschool education']",children - motor - individuals - adolescents - 12 - intervention - qualitative - interventions - muscle strength - self,1,FALSE
First Insights in the Relationship between Lower Limb Anatomy and Back Squat Performance in Resistance-Trained Males and Females,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Physiological and perceptual responses to sprint interval exercise using arm versus leg cycling ergometry,16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,1,FALSE
"Prolotherapy Versus Phonophoresis and Corticosteroid Injections for the Treatment of Plantar Fasciitis: A Randomized, Double-Blind Clinical Trial",7,7_knee_versus_therapy_efficacy,Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment,"['knee', 'versus', 'therapy', 'efficacy', 'treatment', 'review meta analysis', 'review meta', 'systematic review meta', 'effect', 'case']",['Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment'],"['Platelet-rich plasma treatment for talar cartilage repair: a systematic review and meta-analysis', 'How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis', 'A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis']",knee - versus - therapy - efficacy - treatment - review meta analysis - review meta - systematic review meta - effect - case,0.815773279,FALSE
Onlay Dynamic Anterior Stabilization With Biceps Transfer for the Treatment of Anterior Glenohumeral Instability Produces Good Clinical Outcomes and Successful Healing at a Minimum 1 Year of Follow-Up,8,8_year_following_outcomes_clinical,Clinical Outcomes and Treatments in Shoulder Care,"['year', 'following', 'outcomes', 'clinical', 'treatment', 'functional', 'specific', 'assessment', 'compared', 'dynamic']",['Clinical Outcomes and Treatments in Shoulder Care'],"['Minimum 5-Year Clinical Outcomes of Arthroscopically Repaired Massive Rotator Cuff Tears: Effect of Age on Clinical Outcomes', 'Arthroscopic Superior Capsule Reconstruction With Combined Fascia Lata Autograft and Synthetic Scaffold Patch Graft for the Treatment of Irreparable Rotator Cuff Tears Yields Favorable Clinical and Radiographic Outcomes at Minimum 2-Year Follow-Up', 'Onlay Dynamic Anterior Stabilization With Biceps Transfer for the Treatment of Anterior Glenohumeral Instability Produces Good Clinical Outcomes and Successful Healing at a Minimum 1 Year of Follow-Up']",year - following - outcomes - clinical - treatment - functional - specific - assessment - compared - dynamic,0.76700385,TRUE
Effects of Physical Exertion on Early Changes in Blood-Based Brain Biomarkers: Implications for the Acute Point of Care Diagnosis of Concussion,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,1,FALSE
Validity and Reliability of the Seated Medicine Ball Throw as a Measure of Upper Body Power in Older Women,16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,0.9166724,FALSE
Strength gains after 12 weeks of resistance training correlate with neurochemical markers of brain health in older adults: a randomized control 1H-MRS study,12,12_older_older adults_function_community,Exercise Interventions and Cognitive Function in Older Adults,"['older', 'older adults', 'function', 'community', 'randomized controlled trial', 'protocol', 'program', 'pilot', 'intervention', 'people']",['Exercise Interventions and Cognitive Function in Older Adults'],"['Study protocol for a comparative randomized controlled trial of Tai Chi and conventional exercise training on alleviating depression in older insomniacs', 'Effects of Resistance Exercise on Cognitive Performance and Depressive Symptoms in Community-Dwelling Older Chinese Americans: A Pilot Randomized Controlled Trial', 'Improvement of memory function via a combination of exercise and soy peptide supplementation in community-dwelling older adults: A randomized controlled trial']",older - older adults - function - community - randomized controlled trial - protocol - program - pilot - intervention - people,0.460281049,FALSE
Optimal Volume of Moderate-to-Vigorous Physical Activity Postconcussion in Children and Adolescents,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,0.562618995,FALSE
Effects of manual lymphatic drainage on total knee replacement: a systematic review and meta-analysis of randomized controlled trials,5,5_gait_reliability_knee_validity,"Knee Assessment and Recovery: Validity, Reliability, and Clinical Trials","['gait', 'reliability', 'knee', 'validity', 'dynamic', 'limb', 'using', 'syndrome', 'clinical trial', 'joint']","['Knee Assessment and Recovery: Validity, Reliability, and Clinical Trials']","['Reliability and validity of a low-cost, wireless sensor and smartphone app for measuring force during isometric and dynamic resistance exercises', 'A Beta Version of an Application Based on Computer Vision for the Assessment of Knee Valgus Angle: A Validity and Reliability Study', 'Effectiveness of Kinesiotaping and McConnell taping combined with physical exercise on gait biomechanics in patients with patellofemoral syndrome: non-randomized clinical trial']",gait - reliability - knee - validity - dynamic - limb - using - syndrome - clinical trial - joint,0.318134367,FALSE
The changes of blood-based inflammatory biomarkers after non-pharmacologic interventions for chronic low back pain: a systematic review,10,10_dynamic_changes_low_older adults,Impact and Control of Chronic Low Back Pain and Balance in Older Adults,"['dynamic', 'changes', 'low', 'older adults', 'community', 'gait', 'control', 'older', 'relationship', 'risk']",['Impact and Control of Chronic Low Back Pain and Balance in Older Adults'],"['Reliability and criterion validity of handheld dynamometry for measuring trunk muscle strength in people with and without chronic non-specific low back pain', 'The changes of blood-based inflammatory biomarkers after non-pharmacologic interventions for chronic low back pain: a systematic review', 'Prevalence, risk factors and effectiveness of falls prevention interventions for adults living with Mild Cognitive Impairment in the community: A systematic review and meta-analysis']",dynamic - changes - low - older adults - community - gait - control - older - relationship - risk,1,TRUE
Shock waves modulate corticospinal excitability: A proof of concept for further rehabilitation purposes?,21,21_muscles_muscle_limb_acute,Muscle Rehabilitation and Training Effects in Injury Recovery,"['muscles', 'muscle', 'limb', 'acute', '12', 'recovery', 'lower limb', 'resistance', 'effect', 'injury']",['Muscle Rehabilitation and Training Effects in Injury Recovery'],"['Effects of 12 weeks of neuromuscular electrical stimulation of the quadriceps muscles on the function and physio-biochemical traits in functionally fit female nursing-home residents aged 75 + years: a pilot study', 'Early Neuromuscular Electrical Stimulation Preserves Muscle Size and Quality and Maintains Systemic Levels of Signaling Mediators of Muscle Growth and Inflammation in Patients with Traumatic Brain Injury: A Randomized Clinical Trial', 'Corticospinal and spinal responses following a single session of lower limb motor skill and resistance training']",muscles - muscle - limb - acute - 12 - recovery - lower limb - resistance - effect - injury,1,FALSE
Dual processing approach to sedentary behavior and physical activity in the workplace,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.691684839,FALSE
"Effects of a forced cycling program with cognitive stimulation on symptomatology, physical condition, and cognition in people diagnosed with Parkinson disease",12,12_older_older adults_function_community,Exercise Interventions and Cognitive Function in Older Adults,"['older', 'older adults', 'function', 'community', 'randomized controlled trial', 'protocol', 'program', 'pilot', 'intervention', 'people']",['Exercise Interventions and Cognitive Function in Older Adults'],"['Study protocol for a comparative randomized controlled trial of Tai Chi and conventional exercise training on alleviating depression in older insomniacs', 'Effects of Resistance Exercise on Cognitive Performance and Depressive Symptoms in Community-Dwelling Older Chinese Americans: A Pilot Randomized Controlled Trial', 'Improvement of memory function via a combination of exercise and soy peptide supplementation in community-dwelling older adults: A randomized controlled trial']",older - older adults - function - community - randomized controlled trial - protocol - program - pilot - intervention - people,0.512398908,FALSE
Combining Static and Dynamic Myofascial Dry Cupping Therapy to Improve Local and Regional Symptoms in Individuals with Low Back Pain: A Case Series,2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,1,FALSE
Early Neuromuscular Electrical Stimulation Preserves Muscle Size and Quality and Maintains Systemic Levels of Signaling Mediators of Muscle Growth and Inflammation in Patients with Traumatic Brain Injury: A Randomized Clinical Trial,21,21_muscles_muscle_limb_acute,Muscle Rehabilitation and Training Effects in Injury Recovery,"['muscles', 'muscle', 'limb', 'acute', '12', 'recovery', 'lower limb', 'resistance', 'effect', 'injury']",['Muscle Rehabilitation and Training Effects in Injury Recovery'],"['Effects of 12 weeks of neuromuscular electrical stimulation of the quadriceps muscles on the function and physio-biochemical traits in functionally fit female nursing-home residents aged 75 + years: a pilot study', 'Early Neuromuscular Electrical Stimulation Preserves Muscle Size and Quality and Maintains Systemic Levels of Signaling Mediators of Muscle Growth and Inflammation in Patients with Traumatic Brain Injury: A Randomized Clinical Trial', 'Corticospinal and spinal responses following a single session of lower limb motor skill and resistance training']",muscles - muscle - limb - acute - 12 - recovery - lower limb - resistance - effect - injury,1,TRUE
Opportunities for physical activity within clinical care: positive healthcare effects of exercise interventions delivered via telehealth services with evidence-based fitness resources,11,11_adolescents_program_intensity_sectional study,Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes,"['adolescents', 'program', 'intensity', 'sectional study', 'cross sectional study', 'quality life', 'association', 'high', 'clinical trial', 'sectional']",['Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes'],"['Curvilinear association between waist-to-height ratio and cardiorespiratory fitness: a cross-sectional study based on nationwide data from Chinese children and adolescents', 'Effects of high-intensity interval training on physical morphology, cardiorespiratory fitness and metabolic risk factors of cardiovascular disease in children and adolescents: A systematic review and metaanalysis', 'Positive impacts of leisure-time physical activity on cardiorespiratory fitness, co-morbidity level, cardiovascular health and quality of life among midlife adults: a cross-sectional study of a Nigerian population']",adolescents - program - intensity - sectional study - cross sectional study - quality life - association - high - clinical trial - sectional,0.660582307,FALSE
Good clinical and radiological results following remnant-preserving posterior cruciate ligament reconstruction: a systematic review,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Walking on Real-World Terrain with an Ankle Exoskeleton in Cerebral Palsy,20,20_control_dynamic_pilot_lower,Postural Stability and Lower Limb Motor Control Studies,"['control', 'dynamic', 'pilot', 'lower', 'lower limb', 'effect', 'muscles', 'year', 'validity', 'motor']",['Postural Stability and Lower Limb Motor Control Studies'],"['Immediate effect of the use of toe separators on dynamic balance and ankle range of motion: a pilot study', ""Transcranial direct current stimulation suggests not improving postural control during adapted tandem position in people with Parkinson's disease: A pilot study"", 'Effect of short foot exercise on lower-limb motor control function during single-leg standing in university students with flatfoot: A randomized controlled trial']",control - dynamic - pilot - lower - lower limb - effect - muscles - year - validity - motor,0.907537152,FALSE
Temporal differences in the myoelectric activity of lower limb muscles during rearfoot and forefoot running: A statistical parametric mapping approach,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
The 100 most cited articles in lateral epicondylitis research: A bibliometric analysis,22,22_therapy_controlled trial_randomized controlled trial_versus,Clinical Analysis and Trials in Therapy Treatments,"['therapy', 'controlled trial', 'randomized controlled trial', 'versus', 'clinical trial', 'analysis', 'level', 'use', 'effectiveness', 'trial']",['Clinical Analysis and Trials in Therapy Treatments'],"['Efficacy of Kinesio® tapes in obstetrical brachial plexus injury: a randomized controlled trial; [Efficacité des bandes Kinesio® dans le plexus brachial obstetrical: essai contrôlé randomisé]', 'Extracorporeal shock wave versus cold therapy for delayed-onset muscle soreness: a randomized controlled trial; [Terapia a onde d’urto extracorporee e terapia del freddo per indolenzimento muscolare a insorgenza ritardata: uno studio controllato randomizzato]', 'A randomized clinical trial on the changing of median nerve cross-sectional area and pain after extracorporeal shock wave and low-level laser therapy added to conventional physical therapy in patients with mild-to-moderate carpal tunnel syndrome']",therapy - controlled trial - randomized controlled trial - versus - clinical trial - analysis - level - use - effectiveness - trial,1,FALSE
Preferences in anterior cruciate ligament reconstruction: A survey among orthopedic surgeons in China,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Shear Wave Tensiometry Can Detect Loading Differences Between Operated and Unaffected Achilles Tendon,13,13_case_reliability_young_functional,Achilles Tendon Health & Rehabilitation Research,"['case', 'reliability', 'young', 'functional', 'differences', 'versus', 'muscles', 'early', 'chronic', 'validity']",['Achilles Tendon Health & Rehabilitation Research'],"['Return to Sports and Functional Outcomes after Autologous Platelet-Rich Fibrin Matrix (PRFM) and Debridement in Midportion Achilles Tendinopathy: A Case Series with 24-Month Follow-Up', 'Reverse Fragility Index Comparing Rates of Rerupture After Open Achilles Tendon Repair Versus Early Functional Rehabilitation: A Systematic Review of Randomized Controlled Trials', 'Ultrasound is more reliable than clinical tests to both confirm and rule out pathologies of the long head of the biceps: a systematic review and meta-analysis']",case - reliability - young - functional - differences - versus - muscles - early - chronic - validity,1,FALSE
A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis,7,7_knee_versus_therapy_efficacy,Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment,"['knee', 'versus', 'therapy', 'efficacy', 'treatment', 'review meta analysis', 'review meta', 'systematic review meta', 'effect', 'case']",['Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment'],"['Platelet-rich plasma treatment for talar cartilage repair: a systematic review and meta-analysis', 'How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis', 'A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis']",knee - versus - therapy - efficacy - treatment - review meta analysis - review meta - systematic review meta - effect - case,0.587096489,TRUE
Validity of detrended fluctuation analysis of heart rate variability to determine intensity thresholds in elite cyclists,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.594998374,FALSE
Notational Analysis of Wheelchair Paralympic Table Tennis Matches,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Bone stress injuries,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Compositional association of 24-h movement behavior with incident major adverse cardiac events and all-cause mortality,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.605828922,FALSE
Patient Acceptance of Knee Symptoms and Function after Anterior Cruciate Ligament Reconstruction Improves with Physiotherapy Treatment,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Improvement of memory function via a combination of exercise and soy peptide supplementation in community-dwelling older adults: A randomized controlled trial,12,12_older_older adults_function_community,Exercise Interventions and Cognitive Function in Older Adults,"['older', 'older adults', 'function', 'community', 'randomized controlled trial', 'protocol', 'program', 'pilot', 'intervention', 'people']",['Exercise Interventions and Cognitive Function in Older Adults'],"['Study protocol for a comparative randomized controlled trial of Tai Chi and conventional exercise training on alleviating depression in older insomniacs', 'Effects of Resistance Exercise on Cognitive Performance and Depressive Symptoms in Community-Dwelling Older Chinese Americans: A Pilot Randomized Controlled Trial', 'Improvement of memory function via a combination of exercise and soy peptide supplementation in community-dwelling older adults: A randomized controlled trial']",older - older adults - function - community - randomized controlled trial - protocol - program - pilot - intervention - people,1,TRUE
Isolated distal semitendinosus tendon tear in a collegiate athlete,2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,0.995136968,FALSE
Affective responses to stretching exercises: Exploring the timing of assessments,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
"Menstrual cycle characteristics, hormonal contraceptive use and perceptions of related effects in resistance-trained athletes",-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
PRISM - Pain Recovery and Integrative Systems Model: A Process-Based Cognitive-Behavioral Approach for Physical Therapy,2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,1,FALSE
